id,order_date,region,product_category,sales,quantity,customer_segment,month
1,2023-01-15,East,Electronics,1200,2,Consumer,Jan
2,2023-01-20,West,Clothing,350,5,Corporate,Jan
3,2023-02-01,North,Electronics,800,1,Home Office,Feb
4,2023-02-10,South,Books,150,3,Consumer,Feb
5,2023-03-05,East,Clothing,500,4,Corporate,Mar
6,2023-03-12,West,Electronics,2000,3,Consumer,Mar
7,2023-04-01,North,Books,200,2,Home Office,Apr
8,2023-04-20,South,Clothing,600,6,Consumer,Apr
9,2023-05-01,East,Electronics,1500,2,Corporate,May
10,2023-05-15,West,Books,100,1,Home Office,May
11,2023-06-01,North,Clothing,400,3,Consumer,Jun
12,2023-06-10,South,Electronics,1800,2,Corporate,Jun
13,2023-07-01,East,Books,180,2,Consumer,Jul
14,2023-07-10,West,Clothing,700,5,Corporate,Jul
15,2023-08-01,North,Electronics,900,1,Home Office,Aug
16,2023-08-15,South,Books,250,3,Consumer,Aug
17,2023-09-01,East,Clothing,550,4,Corporate,Sep
18,2023-09-10,West,Electronics,2100,3,Consumer,Sep
19,2023-10-01,North,Books,220,2,Home Office,Oct
20,2023-10-15,South,Clothing,650,6,Consumer,Oct
21,2023-11-01,East,Electronics,1600,2,Corporate,Nov
22,2023-11-10,West,Books,120,1,Home Office,Nov
23,2023-12-01,North,Clothing,450,3,Consumer,Dec
24,2023-12-10,South,Electronics,1900,2,Corporate,Dec
